category,Hue,Saturation,Value
forest,43.3819,170.648,64.7204
forest,49.9891,121.8815,57.8686
forest,36.6098,178.2946,59.143
forest,51.0526,112.7704,39.8327
forest,45.736,127.8903,47.632
forest,39.7817,185.9577,71.1169
forest,46.6823,146.2535,44.7931
forest,44.542,148.3956,46.0453
forest,43.8383,145.4511,48.2898
grassland,44.8364,197.967,140.0465
grassland,44.2421,181.7339,153.4753
grassland,44.5277,198.4672,108.4878
grassland,36.3642,236.2136,107.1018
grassland,41.5906,193.0166,151.1209
grassland,38.2527,227.6884,106.5136
grassland,41.3378,192.81,151.7121
grassland,32.0258,198.2123,143.2079
grassland,41.3456,220.1924,120.9484
grassland,45.04,197.9502,95.625
grassland,41.175,202.3853,146.196
grassland,44.0413,196.6156,150.1642
grassland,38.6179,191.858,110.0481
grassland,40.772,213.0401,156.8031
grassland,43.3704,202.0811,151.0329
grassland,36.4822,214.7101,110.0094
grassland,44.5864,187.6061,118.0639
grassland,39.1765,194.9307,158.6752
grassland,35.8543,195.7713,131.221
grassland,42.4772,201.1016,156.2983
grassland,44.2296,214.4445,108.9331
grassland,44.7335,195.2813,106.2188
grassland,32.9622,187.1521,133.8503
grassland,42.5755,218.6636,114.2138
grassland,42.513,207.7759,150.8302
grassland,43.6734,217.4139,112.0291
grassland,29.1513,212.4782,96.5505
grassland,34.5314,201.3385,135.1271
grassland,39.7351,215.7432,107.858
grassland,35.5975,210.4231,128.7726
grassland,39.0029,223.331,97.4374
grassland,40.0462,211.8474,125.5376
grassland,40.8554,199.698,151.0532
grassland,39.0807,228.6075,108.0122
grassland,40.6219,209.1418,154.0457
grassland,44.9097,219.5127,102.3928
grassland,42.6696,206.4026,116.6809
grassland,40.3225,195.7656,156.3685
grassland,33.3968,172.9737,145.5188
grassland,42.0373,224.0165,85.949
grassland,31.9009,169.7477,101.8804
grassland,43.955,205.9899,137.1954
grassland,42.6358,198.4981,157.7058
grassland,40.4241,207.312,124.9131
grassland,32.5893,193.9518,143.5088
grassland,39.3559,219.9983,141.6698
grassland,31.9257,202.0506,135.9755
grassland,34.7326,218.6018,95.5909
grassland,30.8148,178.1696,93.497
grassland,34.6859,215.459,132.4562
grassland,38.6729,225.6103,121.0867
grassland,39.8872,190.6477,134.8181
grassland,48.5884,161.9431,93.3124
grassland,34.2946,215.5791,102.7335
grassland,43.8697,191.9156,144.2061
grassland,42.8271,196.4966,151.4458
grassland,40.5796,223.4066,133.902
grassland,43.5635,188.9934,111.6686
grassland,40.9778,210.9264,144.1913
grassland,42.6339,217.3498,112.89
grassland,42.2036,215.1144,119.665
grassland,44.4231,187.6431,119.2501
grassland,47.6424,203.6479,97.1442
grassland,40.5815,204.5451,119.9225
grassland,41.7854,209.4491,108.5534
grassland,42.5147,225.5744,142.033
grassland,38.8509,216.2937,110.5408
grassland,41.1471,224.5064,143.4237
grassland,45.027,209.2207,148.1694
grassland,44.7888,206.3045,84.3634
grassland,33.3065,193.5869,136.2501
grassland,36.0356,187.4576,86.0
grassland,43.9137,185.7133,152.7912
grassland,35.0722,184.2978,95.6844
grassland,42.6716,200.8063,157.6746
grassland,50.9094,144.6167,110.4755
grassland,36.6986,238.2435,101.5396
grassland,40.9473,212.6568,159.0166
grassland,45.878,175.7153,119.1304
grassland,39.2402,186.8197,139.0772
grassland,37.2251,210.2938,110.3278
grassland,44.4043,190.6769,111.771
grassland,31.5242,210.2507,101.9289
grassland,39.3802,199.9182,155.6065
grassland,35.0927,213.8878,101.5522
grassland,43.648,188.8744,147.6099
grassland,43.0304,193.0436,149.8691
grassland,46.6755,160.3225,111.2565
grassland,31.9873,181.336,110.2379
grassland,32.4253,191.8898,135.7822
grassland,38.8177,200.2282,122.1822
grassland,40.9142,211.0302,152.3713
grassland,45.2224,184.4042,95.3307
grassland,36.2486,196.1127,90.9712
grassland,41.2445,196.5823,147.782
grassland,37.3924,199.9182,97.2442
grassland,42.4147,199.4381,145.9389
grassland,39.0462,233.0764,120.1618
grassland,31.4868,212.1696,100.8816
grassland,43.3379,215.1593,133.6205
grassland,46.7832,215.4083,141.9087
grassland,37.2201,187.3585,78.0621
grassland,43.8442,191.7995,150.5601
grassland,43.2792,210.4179,146.4579
grassland,38.7047,192.5009,155.549
grassland,42.2406,225.6406,116.0725
grassland,43.449,205.2513,110.0384
grassland,31.4881,180.5107,111.7076
grassland,37.4419,173.281,118.8485
grassland,43.1884,194.8214,142.0764
grassland,43.7544,191.2341,153.0449
grassland,34.1093,206.8639,135.9993
